
Feedback Summary (51 events)

Signal                            TP    FP    FN   Prec    Rec     F1
----------------------------------------------------------------------
bem                                2     0     0   1.00   1.00   1.00
cxs                                5     0     0   1.00   1.00   1.00
dca                                3     0     0   1.00   1.00   1.00
dia                               10     0     0   1.00   1.00   1.00
eds                                6     0     0   1.00   1.00   1.00
gcd                                5     0     0   1.00   1.00   1.00
mds                                5     0     0   1.00   1.00   1.00
nbv                                2     0     0   1.00   1.00   1.00
pattern_fragmentation              1     0     0   1.00   1.00   1.00
pfs                                4     0     0   1.00   1.00   1.00
pha                                5     0     0   1.00   1.00   1.00
tpd                                3     0     0   1.00   1.00   1.00
